,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,squadName
45,2022-04-17,19:30,Bundesliga,Matchweek 30,Sun,Away,W,1.0,0.0,Leverkusen,0.6,0.9,53.0,26119.0,Péter Gulácsi,3-5-2,Daniel Siebert,Match Report,,RB Leipzig
47,2022-04-23,15:30,Bundesliga,Matchweek 31,Sat,Home,L,1.0,2.0,Union Berlin,,,55.0,45770.0,Péter Gulácsi,3-1-4-2,Daniel Schlager,Match Report,,RB Leipzig
49,2022-05-02,20:30,Bundesliga,Matchweek 32,Mon,Away,,,,M'Gladbach,,,,,,,,Head-to-Head,,RB Leipzig
51,2022-05-08,19:30,Bundesliga,Matchweek 33,Sun,Home,,,,Augsburg,,,,,,,,Head-to-Head,,RB Leipzig
52,2022-05-14,15:30,Bundesliga,Matchweek 34,Sat,Away,,,,Arminia,,,,,,,,Head-to-Head,,RB Leipzig
1,2021-08-14,15:30,Bundesliga,Matchweek 1,Sat,Away,D,0,0,Arminia,1.4,0.9,55.0,13750.0,Christian Günter,3-4-3,Sven Jablonski,Match Report,,Freiburg
2,2021-08-21,15:30,Bundesliga,Matchweek 2,Sat,Home,W,2,1,Dortmund,1.0,1.5,23.0,10100.0,Christian Günter,4-4-2,Robert Schröder,Match Report,,Freiburg
3,2021-08-28,15:30,Bundesliga,Matchweek 3,Sat,Away,W,3,2,Stuttgart,1.2,1.5,37.0,25000.0,Christian Günter,4-4-2,Frank Willenborg,Match Report,,Freiburg
4,2021-09-11,15:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,Köln,0.6,0.8,54.0,10000.0,Christian Günter,4-4-2,Harm Osmers,Match Report,,Freiburg
5,2021-09-18,15:30,Bundesliga,Matchweek 5,Sat,Away,D,0,0,Mainz 05,0.7,0.8,53.0,13500.0,Christian Günter,3-4-3,Benjamin Brand,Match Report,,Freiburg
6,2021-09-26,17:30,Bundesliga,Matchweek 6,Sun,Home,W,3,0,Augsburg,3.0,0.2,60.0,14400.0,Christian Günter,3-4-3,Daniel Schlager,Match Report,,Freiburg
7,2021-10-02,15:30,Bundesliga,Matchweek 7,Sat,Away,W,2,1,Hertha BSC,1.0,1.0,55.0,18376.0,Christian Günter,3-4-3,Patrick Ittrich,Match Report,,Freiburg
8,2021-10-16,15:30,Bundesliga,Matchweek 8,Sat,Home,D,1,1,RB Leipzig,1.4,1.7,51.0,20000.0,Christian Günter,3-4-3,Daniel Siebert,Match Report,,Freiburg
9,2021-10-23,15:30,Bundesliga,Matchweek 9,Sat,Away,W,2,0,Wolfsburg,1.5,1.8,44.0,10251.0,Christian Günter,3-4-3,Tobias Welz,Match Report,,Freiburg
11,2021-10-30,15:30,Bundesliga,Matchweek 10,Sat,Home,W,3,1,Greuther Fürth,1.3,0.7,51.0,31500.0,Christian Günter,4-2-3-1,Felix Brych,Match Report,,Freiburg
12,2021-11-06,15:30,Bundesliga,Matchweek 11,Sat,Away,L,1,2,Bayern Munich,1.1,3.5,37.0,75000.0,Christian Günter,3-4-3,Sascha Stegemann,Match Report,,Freiburg
13,2021-11-21,15:30,Bundesliga,Matchweek 12,Sun,Home,L,0,2,Eint Frankfurt,1.7,1.3,62.0,32500.0,Christian Günter,3-4-3,Florian Badstübner,Match Report,,Freiburg
14,2021-11-27,15:30,Bundesliga,Matchweek 13,Sat,Away,L,1,2,Bochum,2.1,1.0,58.0,19700.0,Christian Günter,4-4-1-1,Patrick Ittrich,Match Report,,Freiburg
15,2021-12-05,17:30,Bundesliga,Matchweek 14,Sun,Away,W,6,0,M'Gladbach,1.8,1.1,36.0,10025.0,Christian Günter,4-4-2,Robert Hartmann,Match Report,,Freiburg
16,2021-12-11,15:30,Bundesliga,Matchweek 15,Sat,Home,L,1,2,Hoffenheim,1.6,1.1,43.0,750.0,Christian Günter,4-4-1-1,Frank Willenborg,Match Report,,Freiburg
17,2021-12-15,20:30,Bundesliga,Matchweek 16,Wed,Away,D,0,0,Union Berlin,1.4,1.8,45.0,5000.0,Christian Günter,3-4-3,Deniz Aytekin,Match Report,,Freiburg
18,2021-12-19,15:30,Bundesliga,Matchweek 17,Sun,Home,W,2,1,Leverkusen,2.0,1.0,44.0,750.0,Christian Günter,4-2-3-1,Benjamin Cortus,Match Report,,Freiburg
19,2022-01-08,15:30,Bundesliga,Matchweek 18,Sat,Home,D,2,2,Arminia,2.0,0.9,50.0,,Christian Günter,4-2-3-1,Harm Osmers,Match Report,,Freiburg
20,2022-01-14,20:30,Bundesliga,Matchweek 19,Fri,Away,L,1,5,Dortmund,0.7,1.8,34.0,750.0,Christian Günter,4-4-2,Florian Badstübner,Match Report,,Freiburg
22,2022-01-22,15:30,Bundesliga,Matchweek 20,Sat,Home,W,2,0,Stuttgart,1.6,0.5,51.0,500.0,Christian Günter,4-4-1-1,Tobias Stieler,Match Report,,Freiburg
23,2022-02-05,15:30,Bundesliga,Matchweek 21,Sat,Away,L,0,1,Köln,1.3,1.3,59.0,10000.0,Christian Günter,4-4-2,Felix Brych,Match Report,,Freiburg
24,2022-02-12,15:30,Bundesliga,Matchweek 22,Sat,Home,D,1,1,Mainz 05,1.7,2.1,60.0,10000.0,Christian Günter,4-2-3-1,Deniz Aytekin,Match Report,,Freiburg
25,2022-02-19,15:30,Bundesliga,Matchweek 23,Sat,Away,W,2,1,Augsburg,1.6,0.8,46.0,15000.0,Christian Günter,4-2-3-1,Daniel Siebert,Match Report,,Freiburg
26,2022-02-26,15:30,Bundesliga,Matchweek 24,Sat,Home,W,3,0,Hertha BSC,2.8,1.9,58.0,25000.0,Christian Günter,4-2-3-1,Sven Jablonski,Match Report,,Freiburg
28,2022-03-05,15:30,Bundesliga,Matchweek 25,Sat,Away,D,1,1,RB Leipzig,0.5,0.7,28.0,24758.0,Christian Günter,3-5-2,Felix Zwayer,Match Report,,Freiburg
29,2022-03-12,15:30,Bundesliga,Matchweek 26,Sat,Home,W,3,2,Wolfsburg,1.9,1.2,42.0,25000.0,Christian Günter,3-4-3,Martin Petersen,Match Report,,Freiburg
30,2022-03-19,15:30,Bundesliga,Matchweek 27,Sat,Away,D,0,0,Greuther Fürth,0.8,0.7,61.0,9884.0,Christian Günter,4-4-2,Tobias Reichel,Match Report,,Freiburg
31,2022-04-02,15:30,Bundesliga,Matchweek 28,Sat,Home,L,1,4,Bayern Munich,0.6,2.0,39.0,34700.0,Christian Günter,3-4-3,Christian Dingert,Match Report,,Freiburg
32,2022-04-10,17:30,Bundesliga,Matchweek 29,Sun,Away,W,2,1,Eint Frankfurt,0.8,1.2,46.0,47000.0,Christian Günter,4-4-1-1,Felix Brych,Match Report,,Freiburg
33,2022-04-16,15:30,Bundesliga,Matchweek 30,Sat,Home,W,3,0,Bochum,1.8,0.7,61.0,34000.0,Christian Günter,4-2-3-1,Sascha Stegemann,Match Report,,Freiburg
35,2022-04-23,15:30,Bundesliga,Matchweek 31,Sat,Home,D,3,3,M'Gladbach,,,62.0,34700.0,Christian Günter,4-4-1-1,Benjamin Brand,Match Report,,Freiburg
36,2022-04-30,18:30,Bundesliga,Matchweek 32,Sat,Away,,,,Hoffenheim,,,,,,,,Head-to-Head,,Freiburg
37,2022-05-07,15:30,Bundesliga,Matchweek 33,Sat,Home,,,,Union Berlin,,,,,,,,Head-to-Head,,Freiburg
38,2022-05-14,15:30,Bundesliga,Matchweek 34,Sat,Away,,,,Leverkusen,,,,,,,,Head-to-Head,,Freiburg
1,2021-08-14,15:30,Bundesliga,Matchweek 1,Sat,Home,D,1.0,1.0,Leverkusen,0.5,0.7,33.0,11000.0,Christopher Trimmel,3-5-2,Tobias Reichel,Match Report,,Union Berlin
3,2021-08-22,15:30,Bundesliga,Matchweek 2,Sun,Away,D,2.0,2.0,Hoffenheim,1.6,0.9,36.0,8014.0,Marvin Friedrich,3-5-2,Sascha Stegemann,Match Report,,Union Berlin
5,2021-08-29,15:30,Bundesliga,Matchweek 3,Sun,Home,W,2.0,1.0,M'Gladbach,1.9,2.2,27.0,11006.0,Christopher Trimmel,3-5-2,Felix Brych,Match Report,,Union Berlin
6,2021-09-11,15:30,Bundesliga,Matchweek 4,Sat,Home,D,0.0,0.0,Augsburg,1.3,1.3,60.0,10207.0,Christopher Trimmel,3-5-2,Martin Petersen,Match Report,,Union Berlin
8,2021-09-19,17:30,Bundesliga,Matchweek 5,Sun,Away,L,2.0,4.0,Dortmund,1.4,0.9,37.0,25000.0,Marvin Friedrich,3-4-1-2,Sven Jablonski,Match Report,,Union Berlin
9,2021-09-25,15:30,Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Arminia,1.2,0.6,55.0,11000.0,Christopher Trimmel,3-5-2,Marco Fritz,Match Report,,Union Berlin
11,2021-10-03,15:30,Bundesliga,Matchweek 7,Sun,Away,W,2.0,1.0,Mainz 05,1.3,1.1,47.0,16000.0,Marvin Friedrich,3-4-1-2,Tobias Stieler,Match Report,,Union Berlin
12,2021-10-16,15:30,Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Wolfsburg,1.2,1.8,39.0,11000.0,Marvin Friedrich,3-5-2,Sascha Stegemann,Match Report,,Union Berlin
14,2021-10-24,17:30,Bundesliga,Matchweek 9,Sun,Away,D,1.0,1.0,Stuttgart,1.2,0.5,44.0,32595.0,Christopher Trimmel,3-5-2,Florian Badstübner,Match Report,,Union Berlin
16,2021-10-30,15:30,Bundesliga,Matchweek 10,Sat,Home,L,2.0,5.0,Bayern Munich,1.1,3.3,40.0,16509.0,Christopher Trimmel,3-5-2,Harm Osmers,Match Report,,Union Berlin
18,2021-11-07,17:30,Bundesliga,Matchweek 11,Sun,Away,D,2.0,2.0,Köln,1.1,2.1,30.0,49000.0,Marvin Friedrich,3-5-2,Tobias Stieler,Match Report,,Union Berlin
19,2021-11-20,18:30,Bundesliga,Matchweek 12,Sat,Home,W,2.0,0.0,Hertha BSC,2.0,0.5,43.0,22012.0,Christopher Trimmel,3-5-2,Felix Brych,Match Report,,Union Berlin
21,2021-11-28,15:30,Bundesliga,Matchweek 13,Sun,Away,L,1.0,2.0,Eint Frankfurt,1.3,1.9,45.0,24000.0,Christopher Trimmel,3-5-2,Sascha Stegemann,Match Report,,Union Berlin
22,2021-12-03,20:30,Bundesliga,Matchweek 14,Fri,Home,W,2.0,1.0,RB Leipzig,3.3,1.3,38.0,13506.0,Marvin Friedrich,3-4-1-2,Harm Osmers,Match Report,,Union Berlin
24,2021-12-12,15:30,Bundesliga,Matchweek 15,Sun,Away,L,0.0,1.0,Greuther Fürth,1.2,0.7,62.0,,Grischa Prömel,3-5-2,Sven Jablonski,Match Report,,Union Berlin
25,2021-12-15,20:30,Bundesliga,Matchweek 16,Wed,Home,D,0.0,0.0,Freiburg,1.8,1.4,55.0,5000.0,Grischa Prömel,3-5-2,Deniz Aytekin,Match Report,,Union Berlin
26,2021-12-18,15:30,Bundesliga,Matchweek 17,Sat,Away,W,1.0,0.0,Bochum,1.0,0.9,45.0,13500.0,Christopher Trimmel,3-4-1-2,Tobias Reichel,Match Report,,Union Berlin
27,2022-01-08,15:30,Bundesliga,Matchweek 18,Sat,Away,D,2.0,2.0,Leverkusen,2.4,1.8,36.0,,Christopher Trimmel,3-5-2,Matthias Jöllenbeck,Match Report,,Union Berlin
28,2022-01-15,15:30,Bundesliga,Matchweek 19,Sat,Home,W,2.0,1.0,Hoffenheim,1.6,1.3,42.0,3000.0,Christopher Trimmel,3-5-2,Martin Petersen,Match Report,,Union Berlin
30,2022-01-22,15:30,Bundesliga,Matchweek 20,Sat,Away,W,2.0,1.0,M'Gladbach,1.1,1.0,41.0,750.0,Christopher Trimmel,3-5-2,Felix Brych,Match Report,,Union Berlin
31,2022-02-05,15:30,Bundesliga,Matchweek 21,Sat,Away,L,0.0,2.0,Augsburg,1.6,2.0,53.0,7600.0,Christopher Trimmel,3-5-2,Harm Osmers,Match Report,,Union Berlin
32,2022-02-13,15:30,Bundesliga,Matchweek 22,Sun,Home,L,0.0,3.0,Dortmund,1.3,1.9,40.0,10000.0,Christopher Trimmel,3-5-2,Matthias Jöllenbeck,Match Report,,Union Berlin
33,2022-02-19,15:30,Bundesliga,Matchweek 23,Sat,Away,L,0.0,1.0,Arminia,1.0,1.1,58.0,10000.0,Grischa Prömel,3-5-2,Daniel Schlager,Match Report,,Union Berlin
34,2022-02-26,15:30,Bundesliga,Matchweek 24,Sat,Home,W,3.0,1.0,Mainz 05,0.9,0.8,48.0,10000.0,Christopher Trimmel,3-5-2,Bastian Dankert,Match Report,,Union Berlin
36,2022-03-05,15:30,Bundesliga,Matchweek 25,Sat,Away,L,0.0,1.0,Wolfsburg,1.1,0.6,54.0,15703.0,Grischa Prömel,3-5-2,Patrick Ittrich,Match Report,,Union Berlin
37,2022-03-12,15:30,Bundesliga,Matchweek 26,Sat,Home,D,1.0,1.0,Stuttgart,1.2,1.2,44.0,16509.0,Christopher Trimmel,3-5-2,Robert Hartmann,Match Report,,Union Berlin
38,2022-03-19,18:30,Bundesliga,Matchweek 27,Sat,Away,L,0.0,4.0,Bayern Munich,0.8,2.9,29.0,37000.0,Rani Khedira,3-5-2,Harm Osmers,Match Report,,Union Berlin
39,2022-04-01,20:30,Bundesliga,Matchweek 28,Fri,Home,W,1.0,0.0,Köln,1.7,0.5,39.0,22012.0,Christopher Trimmel,3-5-2,Florian Badstübner,Match Report,,Union Berlin
40,2022-04-09,18:30,Bundesliga,Matchweek 29,Sat,Away,W,4.0,1.0,Hertha BSC,2.3,0.8,49.0,74667.0,Christopher Trimmel,3-5-2,Sven Jablonski,Match Report,,Union Berlin
41,2022-04-17,17:30,Bundesliga,Matchweek 30,Sun,Home,W,2.0,0.0,Eint Frankfurt,1.2,0.5,45.0,22000.0,Grischa Prömel,3-5-2,Frank Willenborg,Match Report,,Union Berlin
43,2022-04-23,15:30,Bundesliga,Matchweek 31,Sat,Away,W,2.0,1.0,RB Leipzig,,,45.0,45770.0,Christopher Trimmel,3-5-2,Daniel Schlager,Match Report,,Union Berlin
44,2022-04-29,20:30,Bundesliga,Matchweek 32,Fri,Home,,,,Greuther Fürth,,,,,,,,Head-to-Head,,Union Berlin
45,2022-05-07,15:30,Bundesliga,Matchweek 33,Sat,Away,,,,Freiburg,,,,,,,,Head-to-Head,,Union Berlin
46,2022-05-14,15:30,Bundesliga,Matchweek 34,Sat,Home,,,,Bochum,,,,,,,,Head-to-Head,,Union Berlin
1,2021-08-15,17:30,Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,1.7,1.9,60.0,16500.0,Jonas Hector,4-4-2◆,Robert Hartmann,Match Report,,Köln
2,2021-08-22,17:30,Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,0.8,2.6,43.0,20000.0,Jonas Hector,4-4-2◆,Martin Petersen,Match Report,,Köln
3,2021-08-28,15:30,Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,2.0,1.0,71.0,25000.0,Jonas Hector,4-4-2◆,Benjamin Cortus,Match Report,,Köln
4,2021-09-11,15:30,Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,0.8,0.6,46.0,10000.0,Jonas Hector,4-4-2◆,Harm Osmers,Match Report,,Köln
5,2021-09-18,18:30,Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,1.6,1.9,47.0,25000.0,Jonas Hector,4-4-2◆,Felix Brych,Match Report,,Köln
6,2021-09-25,15:30,Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,1.0,1.2,52.0,24000.0,Jonas Hector,4-4-2◆,Martin Petersen,Match Report,,Köln
7,2021-10-01,20:30,Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,2.7,1.2,66.0,40000.0,Jonas Hector,4-4-2◆,Matthias Jöllenbeck,Match Report,,Köln
8,2021-10-15,20:30,Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,0.7,3.7,50.0,14309.0,Rafael Czichos,4-4-2◆,Tobias Reichel,Match Report,,Köln
9,2021-10-24,15:30,Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,1.9,1.4,61.0,49600.0,Jonas Hector,4-4-2◆,Felix Zwayer,Match Report,,Köln
11,2021-10-30,15:30,Bundesliga,Matchweek 10,Sat,Away,L,0,2,Dortmund,1.3,1.3,57.0,66709.0,Jonas Hector,4-4-2◆,Martin Petersen,Match Report,,Köln
12,2021-11-07,17:30,Bundesliga,Matchweek 11,Sun,Home,D,2,2,Union Berlin,2.1,1.1,70.0,49000.0,Jonas Hector,4-2-3-1,Tobias Stieler,Match Report,,Köln
13,2021-11-21,17:30,Bundesliga,Matchweek 12,Sun,Away,D,1,1,Mainz 05,1.7,0.9,58.0,25500.0,Jonas Hector,4-2-3-1,Deniz Aytekin,Match Report,,Köln
14,2021-11-27,15:30,Bundesliga,Matchweek 13,Sat,Home,W,4,1,M'Gladbach,1.7,1.1,49.0,50000.0,Jonas Hector,4-2-3-1,Robert Schröder,Match Report,,Köln
15,2021-12-04,15:30,Bundesliga,Matchweek 14,Sat,Away,D,1,1,Arminia,1.1,1.5,57.0,8231.0,Rafael Czichos,4-2-3-1,Felix Brych,Match Report,,Köln
16,2021-12-10,20:30,Bundesliga,Matchweek 15,Fri,Home,L,0,2,Augsburg,1.2,0.7,63.0,15000.0,Jonas Hector,4-4-2◆,Patrick Ittrich,Match Report,,Köln
17,2021-12-14,20:30,Bundesliga,Matchweek 16,Tue,Away,W,3,2,Wolfsburg,3.3,2.5,60.0,5000.0,Jonas Hector,4-4-2◆,Robert Hartmann,Match Report,,Köln
18,2021-12-19,17:30,Bundesliga,Matchweek 17,Sun,Home,W,1,0,Stuttgart,1.1,0.4,50.0,15000.0,Jonas Hector,4-4-2◆,Bastian Dankert,Match Report,,Köln
19,2022-01-09,15:30,Bundesliga,Matchweek 18,Sun,Away,W,3,1,Hertha BSC,1.7,1.0,47.0,3000.0,Jonas Hector,4-4-2◆,Tobias Stieler,Match Report,,Köln
20,2022-01-15,15:30,Bundesliga,Matchweek 19,Sat,Home,L,0,4,Bayern Munich,1.2,3.4,48.0,1000.0,Jonas Hector,4-4-2◆,Tobias Welz,Match Report,,Köln
22,2022-01-22,18:30,Bundesliga,Matchweek 20,Sat,Away,D,2,2,Bochum,1.0,1.8,46.0,750.0,Jonas Hector,4-4-2◆,Matthias Jöllenbeck,Match Report,,Köln
23,2022-02-05,15:30,Bundesliga,Matchweek 21,Sat,Home,W,1,0,Freiburg,1.3,1.3,41.0,10000.0,Jonas Hector,4-4-2◆,Felix Brych,Match Report,,Köln
24,2022-02-11,20:30,Bundesliga,Matchweek 22,Fri,Away,L,1,3,RB Leipzig,0.9,1.0,51.0,15000.0,Jonas Hector,4-2-3-1,Florian Badstübner,Match Report,,Köln
25,2022-02-19,18:30,Bundesliga,Matchweek 23,Sat,Home,W,1,0,Eint Frankfurt,1.3,0.7,57.0,10000.0,Jonas Hector,4-2-3-1,Christian Dingert,Match Report,,Köln
26,2022-02-26,15:30,Bundesliga,Matchweek 24,Sat,Away,D,1,1,Greuther Fürth,0.8,0.8,59.0,9200.0,Jonas Hector,4-4-2◆,Robert Schörgenhofer,Match Report,,Köln
27,2022-03-06,17:30,Bundesliga,Matchweek 25,Sun,Home,L,0,1,Hoffenheim,1.3,2.1,55.0,37500.0,Anthony Modeste,4-2-3-1,Marco Fritz,Match Report,,Köln
28,2022-03-13,15:30,Bundesliga,Matchweek 26,Sun,Away,W,1,0,Leverkusen,0.5,1.7,45.0,22658.0,Jonas Hector,4-4-2◆,Sascha Stegemann,Match Report,,Köln
29,2022-03-20,19:30,Bundesliga,Matchweek 27,Sun,Home,D,1,1,Dortmund,1.2,1.1,54.0,50000.0,Anthony Modeste,4-4-2◆,Daniel Siebert,Match Report,,Köln
30,2022-04-01,20:30,Bundesliga,Matchweek 28,Fri,Away,L,0,1,Union Berlin,0.5,1.7,61.0,22012.0,Jonas Hector,4-2-3-1,Florian Badstübner,Match Report,,Köln
31,2022-04-09,15:30,Bundesliga,Matchweek 29,Sat,Home,W,3,2,Mainz 05,2.1,0.9,54.0,49800.0,Jonas Hector,4-2-3-1,Martin Petersen,Match Report,,Köln
32,2022-04-16,18:30,Bundesliga,Matchweek 30,Sat,Away,W,3,1,M'Gladbach,2.3,2.0,43.0,54042.0,Jonas Hector,4-2-3-1,Deniz Aytekin,Match Report,,Köln
33,2022-04-23,15:30,Bundesliga,Matchweek 31,Sat,Home,W,3,1,Arminia,,,55.0,50000.0,Jonas Hector,4-2-3-1,Tobias Stieler,Match Report,,Köln
34,2022-04-30,15:30,Bundesliga,Matchweek 32,Sat,Away,,,,Augsburg,,,,,,,,Head-to-Head,,Köln
35,2022-05-07,15:30,Bundesliga,Matchweek 33,Sat,Home,,,,Wolfsburg,,,,,,,,Head-to-Head,,Köln
36,2022-05-14,15:30,Bundesliga,Matchweek 34,Sat,Away,,,,Stuttgart,,,,,,,,Head-to-Head,,Köln
1,2021-08-14,15:30,Bundesliga,Matchweek 1,Sat,Away,W,4.0,0.0,Augsburg,3.4,0.6,53.0,9124.0,Oliver Baumann,4-2-3-1,Felix Brych,Match Report,,Hoffenheim
2,2021-08-22,15:30,Bundesliga,Matchweek 2,Sun,Home,D,2.0,2.0,Union Berlin,0.9,1.6,64.0,8014.0,Oliver Baumann,4-4-2,Sascha Stegemann,Match Report,,Hoffenheim
3,2021-08-27,20:30,Bundesliga,Matchweek 3,Fri,Away,L,2.0,3.0,Dortmund,1.8,3.6,41.0,25000.0,Oliver Baumann,4-2-3-1,Felix Zwayer,Match Report,,Hoffenheim
4,2021-09-11,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0.0,2.0,Mainz 05,0.8,1.1,63.0,8427.0,Oliver Baumann,4-2-3-1,Marco Fritz,Match Report,,Hoffenheim
5,2021-09-18,15:30,Bundesliga,Matchweek 5,Sat,Away,D,0.0,0.0,Arminia,1.5,1.1,57.0,13750.0,Oliver Baumann,4-2-3-1,Patrick Ittrich,Match Report,,Hoffenheim
6,2021-09-25,15:30,Bundesliga,Matchweek 6,Sat,Home,W,3.0,1.0,Wolfsburg,1.7,0.6,50.0,8523.0,Oliver Baumann,4-4-2,Daniel Siebert,Match Report,,Hoffenheim
7,2021-10-02,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1.0,3.0,Stuttgart,1.3,0.8,58.0,24211.0,Oliver Baumann,4-3-3,Harm Osmers,Match Report,,Hoffenheim
8,2021-10-15,20:30,Bundesliga,Matchweek 8,Fri,Home,W,5.0,0.0,Köln,3.7,0.7,50.0,14309.0,Oliver Baumann,3-4-1-2,Tobias Reichel,Match Report,,Hoffenheim
9,2021-10-23,15:30,Bundesliga,Matchweek 9,Sat,Away,L,0.0,4.0,Bayern Munich,0.7,2.1,38.0,60000.0,Oliver Baumann,3-4-3,Matthias Jöllenbeck,Match Report,,Hoffenheim
11,2021-10-29,20:30,Bundesliga,Matchweek 10,Fri,Home,W,2.0,0.0,Hertha BSC,1.0,0.4,54.0,8127.0,Oliver Baumann,3-4-1-2,Sven Jablonski,Match Report,,Hoffenheim
12,2021-11-06,15:30,Bundesliga,Matchweek 11,Sat,Away,L,0.0,2.0,Bochum,0.6,2.3,62.0,19600.0,Oliver Baumann,3-5-2,Frank Willenborg,Match Report,,Hoffenheim
13,2021-11-20,15:30,Bundesliga,Matchweek 12,Sat,Home,W,2.0,0.0,RB Leipzig,2.7,0.2,43.0,13233.0,Oliver Baumann,3-4-3,Tobias Welz,Match Report,,Hoffenheim
14,2021-11-27,15:30,Bundesliga,Matchweek 13,Sat,Away,W,6.0,3.0,Greuther Fürth,3.0,1.4,51.0,3385.0,Florian Grillitsch,4-3-3,Bastian Dankert,Match Report,,Hoffenheim
15,2021-12-04,15:30,Bundesliga,Matchweek 14,Sat,Home,W,3.0,2.0,Eint Frankfurt,0.9,1.7,49.0,,Oliver Baumann,3-4-3,Daniel Schlager,Match Report,,Hoffenheim
16,2021-12-11,15:30,Bundesliga,Matchweek 15,Sat,Away,W,2.0,1.0,Freiburg,1.1,1.6,57.0,750.0,Oliver Baumann,3-4-3,Frank Willenborg,Match Report,,Hoffenheim
17,2021-12-15,20:30,Bundesliga,Matchweek 16,Wed,Away,D,2.0,2.0,Leverkusen,1.9,2.0,54.0,13272.0,Oliver Baumann,3-4-1-2,Tobias Stieler,Match Report,,Hoffenheim
18,2021-12-18,15:30,Bundesliga,Matchweek 17,Sat,Home,D,1.0,1.0,M'Gladbach,2.3,1.6,60.0,750.0,Oliver Baumann,3-4-3,Sven Jablonski,Match Report,,Hoffenheim
19,2022-01-08,15:30,Bundesliga,Matchweek 18,Sat,Home,W,3.0,1.0,Augsburg,1.8,0.7,57.0,500.0,Oliver Baumann,3-5-2,Benjamin Cortus,Match Report,,Hoffenheim
20,2022-01-15,15:30,Bundesliga,Matchweek 19,Sat,Away,L,1.0,2.0,Union Berlin,1.3,1.6,58.0,3000.0,Oliver Baumann,3-5-2,Martin Petersen,Match Report,,Hoffenheim
22,2022-01-22,15:30,Bundesliga,Matchweek 20,Sat,Home,L,2.0,3.0,Dortmund,1.5,1.5,58.0,500.0,Benjamin Hübner,3-4-1-2,Deniz Aytekin,Match Report,,Hoffenheim
23,2022-02-05,15:30,Bundesliga,Matchweek 21,Sat,Away,L,0.0,2.0,Mainz 05,1.6,2.0,59.0,6800.0,Benjamin Hübner,3-4-3,Christian Dingert,Match Report,,Hoffenheim
24,2022-02-13,17:30,Bundesliga,Matchweek 22,Sun,Home,W,2.0,0.0,Arminia,2.3,0.8,52.0,10000.0,Benjamin Hübner,3-5-2,Robert Hartmann,Match Report,,Hoffenheim
25,2022-02-19,15:30,Bundesliga,Matchweek 23,Sat,Away,W,2.0,1.0,Wolfsburg,1.4,1.1,45.0,7145.0,Kevin Vogt,3-4-3,Felix Zwayer,Match Report,,Hoffenheim
26,2022-02-25,20:30,Bundesliga,Matchweek 24,Fri,Home,W,2.0,1.0,Stuttgart,2.3,1.9,55.0,18099.0,Benjamin Hübner,3-5-2,Matthias Jöllenbeck,Match Report,,Hoffenheim
27,2022-03-06,17:30,Bundesliga,Matchweek 25,Sun,Away,W,1.0,0.0,Köln,2.1,1.3,45.0,37500.0,Oliver Baumann,3-5-2,Marco Fritz,Match Report,,Hoffenheim
28,2022-03-12,15:30,Bundesliga,Matchweek 26,Sat,Home,D,1.0,1.0,Bayern Munich,1.4,3.3,39.0,25600.0,Oliver Baumann,3-4-3,Robert Schröder,Match Report,,Hoffenheim
29,2022-03-19,15:30,Bundesliga,Matchweek 27,Sat,Away,L,0.0,3.0,Hertha BSC,0.8,0.8,69.0,25000.0,Oliver Baumann,3-5-2,Daniel Schlager,Match Report,,Hoffenheim
30,2022-04-02,15:30,Bundesliga,Matchweek 28,Sat,Home,L,1.0,2.0,Bochum,2.2,2.1,58.0,15014.0,Oliver Baumann,3-4-1-2,Daniel Siebert,Match Report,,Hoffenheim
31,2022-04-10,19:30,Bundesliga,Matchweek 29,Sun,Away,L,0.0,3.0,RB Leipzig,0.2,1.5,49.0,35112.0,Oliver Baumann,3-4-1-2,Bastian Dankert,Match Report,,Hoffenheim
32,2022-04-17,17:30,Bundesliga,Matchweek 30,Sun,Home,D,0.0,0.0,Greuther Fürth,0.9,0.5,58.0,16110.0,Oliver Baumann,3-5-2,Felix Zwayer,Match Report,,Hoffenheim
33,2022-04-23,15:30,Bundesliga,Matchweek 31,Sat,Away,D,2.0,2.0,Eint Frankfurt,,,51.0,50500.0,Oliver Baumann,3-4-3,Sven Jablonski,Match Report,,Hoffenheim
34,2022-04-30,18:30,Bundesliga,Matchweek 32,Sat,Home,,,,Freiburg,,,,,,,,Head-to-Head,,Hoffenheim
